Extracting  10000  images.
Extracting  10000  labels
Extracting  1000  images.
Extracting  1000  labels
step 980, training accuracy 0.96 , Light( 30 ), Dist( 50 ), 2015-11-28 19:01:51
step 990, training accuracy 0.96 , Light( 30 ), Dist( 50 ), 2015-11-28 19:02:10
step 1000, training accuracy 0.98 , Light( 30 ), Dist( 50 ), 2015-11-28 19:02:28
step 1010, training accuracy 1 , Light( 30 ), Dist( 50 ), 2015-11-28 19:02:45
step 1020, training accuracy 1 , Light( 30 ), Dist( 50 ), 2015-11-28 19:03:02
step 1030, training accuracy 1 , Light( 30 ), Dist( 50 ), 2015-11-28 19:03:20
step 1040, training accuracy 1 , Light( 30 ), Dist( 50 ), 2015-11-28 19:03:37
step 1050, training accuracy 1 , Light( 30 ), Dist( 50 ), 2015-11-28 19:03:54
step 1060, training accuracy 0.96 , Light( 30 ), Dist( 50 ), 2015-11-28 19:04:10
step 1070, training accuracy 0.96 , Light( 30 ), Dist( 50 ), 2015-11-28 19:04:26
step 1080, training accuracy 0.92 , Light( 30 ), Dist( 50 ), 2015-11-28 19:04:44
step 1090, training accuracy 0.94 , Light( 30 ), Dist( 50 ), 2015-11-28 19:05:01
step 1100, training accuracy 1 , Light( 30 ), Dist( 50 ), 2015-11-28 19:05:18
step 1110, training accuracy 1 , Light( 30 ), Dist( 50 ), 2015-11-28 19:05:35
step 1120, training accuracy 0.94 , Light( 30 ), Dist( 50 ), 2015-11-28 19:05:52
step 1130, training accuracy 1 , Light( 30 ), Dist( 50 ), 2015-11-28 19:06:10
step 1140, training accuracy 1 , Light( 30 ), Dist( 50 ), 2015-11-28 19:06:28
step 1150, training accuracy 0.94 , Light( 30 ), Dist( 50 ), 2015-11-28 19:06:45
step 1160, training accuracy 0.98 , Light( 30 ), Dist( 50 ), 2015-11-28 19:07:02
step 1170, training accuracy 0.96 , Light( 30 ), Dist( 50 ), 2015-11-28 19:07:20
step 1180, training accuracy 1 , Light( 30 ), Dist( 50 ), 2015-11-28 19:07:37
step 1190, training accuracy 1 , Light( 30 ), Dist( 50 ), 2015-11-28 19:07:55
step 1200, training accuracy 0.98 , Light( 30 ), Dist( 50 ), 2015-11-28 19:08:13
step 1210, training accuracy 1 , Light( 30 ), Dist( 50 ), 2015-11-28 19:08:29
step 1220, training accuracy 0.98 , Light( 30 ), Dist( 50 ), 2015-11-28 19:08:47
step 1230, training accuracy 1 , Light( 30 ), Dist( 50 ), 2015-11-28 19:09:06
step 1240, training accuracy 1 , Light( 30 ), Dist( 50 ), 2015-11-28 19:09:24
step 1250, training accuracy 0.98 , Light( 30 ), Dist( 50 ), 2015-11-28 19:09:42
step 1260, training accuracy 0.96 , Light( 30 ), Dist( 50 ), 2015-11-28 19:10:01
step 1270, training accuracy 0.94 , Light( 30 ), Dist( 50 ), 2015-11-28 19:10:19
step 1280, training accuracy 1 , Light( 30 ), Dist( 50 ), 2015-11-28 19:10:38
step 1290, training accuracy 0.98 , Light( 30 ), Dist( 50 ), 2015-11-28 19:10:55
step 1300, training accuracy 0.98 , Light( 30 ), Dist( 50 ), 2015-11-28 19:11:12
step 1310, training accuracy 1 , Light( 30 ), Dist( 50 ), 2015-11-28 19:11:29
step 1320, training accuracy 1 , Light( 30 ), Dist( 50 ), 2015-11-28 19:11:46
step 1330, training accuracy 0.98 , Light( 30 ), Dist( 50 ), 2015-11-28 19:12:04
step 1340, training accuracy 0.96 , Light( 30 ), Dist( 50 ), 2015-11-28 19:12:21
step 1350, training accuracy 0.98 , Light( 30 ), Dist( 50 ), 2015-11-28 19:12:37
step 1360, training accuracy 0.98 , Light( 30 ), Dist( 50 ), 2015-11-28 19:12:56
step 1370, training accuracy 0.96 , Light( 30 ), Dist( 50 ), 2015-11-28 19:13:13
step 1380, training accuracy 0.96 , Light( 30 ), Dist( 50 ), 2015-11-28 19:13:32
step 1390, training accuracy 1 , Light( 30 ), Dist( 50 ), 2015-11-28 19:13:51
step 1400, training accuracy 0.98 , Light( 30 ), Dist( 50 ), 2015-11-28 19:14:12
step 1410, training accuracy 1 , Light( 30 ), Dist( 50 ), 2015-11-28 19:14:32
step 1420, training accuracy 1 , Light( 30 ), Dist( 50 ), 2015-11-28 19:14:54
step 1430, training accuracy 1 , Light( 30 ), Dist( 50 ), 2015-11-28 19:15:12
step 1440, training accuracy 0.98 , Light( 30 ), Dist( 50 ), 2015-11-28 19:15:30
step 1450, training accuracy 1 , Light( 30 ), Dist( 50 ), 2015-11-28 19:15:47
step 1460, training accuracy 0.98 , Light( 30 ), Dist( 50 ), 2015-11-28 19:16:03
step 1470, training accuracy 0.96 , Light( 30 ), Dist( 50 ), 2015-11-28 19:16:21
step 1480, training accuracy 0.98 , Light( 30 ), Dist( 50 ), 2015-11-28 19:16:38
step 1490, training accuracy 1 , Light( 30 ), Dist( 50 ), 2015-11-28 19:16:55
step 1500, training accuracy 1 , Light( 30 ), Dist( 50 ), 2015-11-28 19:17:12
step 1510, training accuracy 0.96 , Light( 30 ), Dist( 50 ), 2015-11-28 19:17:29
step 1520, training accuracy 1 , Light( 30 ), Dist( 50 ), 2015-11-28 19:17:46
step 1530, training accuracy 0.96 , Light( 30 ), Dist( 50 ), 2015-11-28 19:18:03
step 1540, training accuracy 0.98 , Light( 30 ), Dist( 50 ), 2015-11-28 19:18:20
