Extracting  10000  images.
Extracting  10000  labels
Extracting  1000  images.
Extracting  1000  labels
step 1370, training accuracy 0.98 , Light( 15 ), Dist( 140 ), 2015-11-27 17:34:47
step 1380, training accuracy 0.96 , Light( 15 ), Dist( 140 ), 2015-11-27 17:34:54
step 1390, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 17:35:02
step 1400, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 17:35:09
step 1410, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 17:35:17
step 1420, training accuracy 0.98 , Light( 15 ), Dist( 140 ), 2015-11-27 17:35:24
step 1430, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 17:35:31
step 1440, training accuracy 0.96 , Light( 15 ), Dist( 140 ), 2015-11-27 17:35:40
step 1450, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 17:35:47
step 1460, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 17:35:55
step 1470, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 17:36:03
step 1480, training accuracy 0.98 , Light( 15 ), Dist( 140 ), 2015-11-27 17:36:10
step 1490, training accuracy 0.98 , Light( 15 ), Dist( 140 ), 2015-11-27 17:36:18
step 1500, training accuracy 0.98 , Light( 15 ), Dist( 140 ), 2015-11-27 17:36:25
step 1510, training accuracy 0.96 , Light( 15 ), Dist( 140 ), 2015-11-27 17:36:33
step 1520, training accuracy 0.98 , Light( 15 ), Dist( 140 ), 2015-11-27 17:36:40
step 1530, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 17:36:48
step 1540, training accuracy 0.98 , Light( 15 ), Dist( 140 ), 2015-11-27 17:36:55
step 1550, training accuracy 0.98 , Light( 15 ), Dist( 140 ), 2015-11-27 17:37:03
step 1560, training accuracy 0.96 , Light( 15 ), Dist( 140 ), 2015-11-27 17:37:10
step 1570, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 17:37:18
step 1580, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 17:37:25
step 1590, training accuracy 0.98 , Light( 15 ), Dist( 140 ), 2015-11-27 17:37:33
step 1600, training accuracy 0.98 , Light( 15 ), Dist( 140 ), 2015-11-27 17:37:40
step 1610, training accuracy 0.98 , Light( 15 ), Dist( 140 ), 2015-11-27 17:37:48
step 1620, training accuracy 0.98 , Light( 15 ), Dist( 140 ), 2015-11-27 17:37:55
step 1630, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 17:38:03
step 1640, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 17:38:10
step 1650, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 17:38:18
step 1660, training accuracy 0.94 , Light( 15 ), Dist( 140 ), 2015-11-27 17:38:25
step 1670, training accuracy 0.98 , Light( 15 ), Dist( 140 ), 2015-11-27 17:38:33
step 1680, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 17:38:41
step 1690, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 17:38:48
step 1700, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 17:38:56
step 1710, training accuracy 0.98 , Light( 15 ), Dist( 140 ), 2015-11-27 17:39:03
step 1720, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 17:39:11
step 1730, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 17:39:18
step 1740, training accuracy 0.96 , Light( 15 ), Dist( 140 ), 2015-11-27 17:39:26
step 1750, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 17:39:34
step 1760, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 17:39:42
step 1770, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 17:39:49
step 1780, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 17:39:57
